server,mp_learning_rate,mp_weight_decay,mp_drop_prob,mp_noise_prob,mp_train_batch_size,mp_test_batch_size,mp_test_masking_rate,mp_num_epochs,mp_optimizer,mp_activation,mp_hidden_layers,mp_aug_step,mp_aug_step_floor,mp_decoder_constraint,mp_normalize_data,mp_last_layer_activations,mp_prediction_floor,mp_loss_size_average,dp_test_split_rate,dp_pivot_indexes,_RMSE,_learn_time,1m
dai,0.005,0.0001,0.3,0.8,16,6,0.1,2,adam,relu,"[2048, 2048, 512]",0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.1,"[1, 0]",0.91078263,159.1550326,
dai,0.01,0.0001,0.5,0.5,16,2,0.8,4,adagrad,selu,"[2, 4, 8, 64, 512]",0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0.3,"[0, 1]",0.91089854,5.033342361,
dai,0.1,0.1,0.3,0.5,128,5,0.2,8,adam,lrelu,[4],3,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,0.1,"[1, 0]",0.912039921,58.70894885,
dai,0.0001,0.1,0.2,0.1,512,5,0.7,8,adam,relu,"[2048, 4096]",1,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0.2,"[1, 0]",0.912446785,79.64799428,
dai,0.005,0.01,0.9,0,32,8,0.9,8,sgd,relu6,"[32, 8, 4]",0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,0.1,"[1, 0]",0.912533138,73.04474926,
dai,0.005,0.01,0,0,64,1,0.5,10,adam,selu,[128],1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.3,"[0, 1]",0.913028243,6.860645771,
dai,0.0001,0,0,0,64,1,0.5,10,adam,selu,[128],1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.3,"[0, 1]",0.913070375,7.945744038,
dai,0.01,0.001,0.2,0.3,8,9,0.9,1,adam,tanh,8,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0.1,"[1, 0]",0.913108221,24.17828941,
dai,0.1,0.005,0.9,0.4,32,10,0.1,8,rmsprop,relu,2,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.2,"[1, 0]",0.913356879,66.18691874,
sheng,0.005,0.005,0,0,64,1,0.5,10,adam,selu,[128],1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.3,"[0, 1]",0.914254201,131.5283005,
sheng,0.005,0.005,0,0,64,1,0.5,10,adam,selu,[128],1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.3,"[0, 1]",0.914254201,131.5283005,
dai,0.0001,0,0,0,64,1,0.5,10,adam,selu,[128],1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.3,"[0, 1]",0.91468467,7.72031951,
dai,0.005,0,0.5,0.1,32,5,0.5,1,adagrad,swish,"[2048, 2048, 512, 8]",1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.2,"[1, 0]",0.915006831,85.26729202,
dai,0.001,0,0.4,0.8,1024,8,0.5,8,sgd,elu,4,3,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.2,"[1, 0]",0.91557118,39.30899692,
dai,0.005,0,0,0,64,1,0.5,10,adam,selu,[2],1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.3,"[0, 1]",0.91564756,7.29349041,
dai,0.01,0.005,0.9,0.2,4,8,0.6,8,sgd,tanh,256,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.4,"[0, 1]",0.916567589,39.75092506,
dai,0.0001,0.001,0.2,0.8,4,5,0.6,8,rmsprop,lrelu,4,2,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0.1,"[1, 0]",0.918133264,426.5200255,
dai,0.01,0.001,0,0.3,4,5,0.8,1,rmsprop,relu6,"[2048, 2, 4, 1024]",0,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0.4,"[1, 0]",0.91874999,68.74158573,
dai,0.001,0.0001,0.1,0.6,1024,10,0.2,2,adagrad,relu,512,2,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,0.2,"[1, 0]",0.922195737,10.53279996,
dai,0.005,0,0,0,64,1,0.5,10,adam,selu,[2],1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.3,"[0, 1]",0.924695576,6.303137541,
dai,0.005,0,0,0,64,1,0.5,10,adam,selu,[128],1,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0.3,"[0, 1]",0.927157451,6.569399357,
dai,0.1,0.01,0.9,0.6,1,10,0.2,1,adagrad,elu,[64],0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0.4,"[1, 0]",0.92755741,60.78787327,
sheng,0.005,0.01,0,0,64,1,0.5,10,adam,selu,[128],1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.3,"[0, 1]",0.928050774,126.3494718,
sheng,0.005,0.01,0,0,64,1,0.5,10,adam,selu,[128],1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.3,"[0, 1]",0.928050774,126.3494718,
dai,0.001,0.0001,0.3,0,16,6,0.9,1,sgd,elu,"[256, 32]",3,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0.4,"[1, 0]",0.928759587,21.06184173,
dai,0.005,0.0001,0,0.6,4,2,0.6,10,adagrad,lrelu,"[512, 2, 2]",3,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.1,"[0, 1]",0.930374602,95.53742838,
sheng,0.005,0,0,0,64,1,0.5,10,adam,selu,[128],1,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0.3,"[0, 1]",0.931573552,98.93923426,
sheng,0.005,0,0,0,64,1,0.5,10,adam,selu,[128],1,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0.3,"[0, 1]",0.931573552,98.93923426,
dai,0.001,0.005,0,0.8,2,1,0.2,10,adam,tanh,"[128, 2048, 4096]",0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.3,"[1, 0]",0.932606026,4700.898607,
dai,0.1,0.001,0,0,32,6,0.6,2,adam,sigmoid,"[64, 8]",0,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0.4,"[0, 1]",0.933278884,1.43712616,
dai,0.005,0,0,0,64,1,0.5,10,adam,selu,[4],1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.3,"[0, 1]",0.934416576,7.463034391,
dai,0.005,0.0001,0.5,0.2,1024,1,0.1,10,adam,relu,"[256, 16, 16]",0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.3,"[0, 1]",0.934969807,4.139648199,
dai,0.005,0,0,0,64,1,0.5,10,adagrad,selu,[128],1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.3,"[0, 1]",0.935601893,7.354324818,
dai,0.005,0.001,0.2,0.5,256,7,0.6,2,adagrad,relu,128,3,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0.4,"[1, 0]",0.935676553,11.26683855,
dai,0.001,0,0,0.7,8,6,0.2,1,adam,selu,"[2, 2]",0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0.1,"[0, 1]",0.936576848,1.864940643,
dai,0.001,0.001,0.9,0.6,1,6,0.1,8,sgd,relu,"[4096, 512]",0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0.3,"[0, 1]",0.937936397,242.0973923,
dai,0.005,0,0,0,64,1,0.5,10,adam,selu,[4],1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.3,"[0, 1]",0.939304656,7.209712267,
sheng,0.005,0,0,0,64,1,0.5,10,adagrad,selu,[128],1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.3,"[0, 1]",0.939385279,112.1151514,
sheng,0.005,0,0,0,64,1,0.5,10,adagrad,selu,[128],1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.3,"[0, 1]",0.939385279,112.1151514,
dai,0.0001,0.0001,0.1,0.7,2,1,0.4,2,adam,tanh,"[512, 8, 128]",0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0.3,"[0, 1]",0.939540014,12.46577477,
dai,0.0001,0,0.6,0.4,8,9,0.3,2,adagrad,elu,[128],0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0.2,"[1, 0]",0.93979386,41.81414342,
